symbol,name,suffix,market
ENI.MI,Eni S.p.A.,.MI,Italy
ISP.MI,Intesa Sanpaolo S.p.A.,.MI,Italy
UCG.MI,UniCredit S.p.A.,.MI,Italy
G.MI,Generali Assicurazioni,.MI,Italy
ENEL.MI,Enel S.p.A.,.MI,Italy
STLAM.MI,Stellantis N.V.,.MI,Italy
FCA.MI,Fiat Chrysler Automobiles,.MI,Italy
F.MI,Ferrari N.V.,.MI,Italy
RACE.MI,Ferrari N.V.,.MI,Italy
PRY.MI,Prysmian S.p.A.,.MI,Italy
MONC.MI,Moncler S.p.A.,.MI,Italy
TIT.MI,Telecom Italia S.p.A.,.MI,Italy
MSFT.MI,Microsoft Corp.,.MI,Italy
AAPL.MI,Apple Inc.,.MI,Italy
AMZN.MI,Amazon.com Inc.,.MI,Italy
GOOGL.MI,Alphabet Inc.,.MI,Italy
NVDA.MI,NVIDIA Corp.,.MI,Italy
TSLA.MI,Tesla Inc.,.MI,Italy
NFLX.MI,Netflix Inc.,.MI,Italy
DIS.MI,Walt Disney Co.,.MI,Italy
LIN.MI,Linde plc,.MI,Italy
LUX.MI,Luxottica Group S.p.A.,.MI,Italy
AMP.MI,Amplifon S.p.A.,.MI,Italy
DIA.MI,Diasorin S.p.A.,.MI,Italy
REC.MI,Recordati S.p.A.,.MI,Italy
CNHI.MI,CNH Industrial N.V.,.MI,Italy
BGN.MI,Banca Generali S.p.A.,.MI,Italy
BFG.MI,Banca Finanziaria, .MI,Italy
PST.MI,Poste Italiane S.p.A.,.MI,Italy
TEN.MI,Tenaris S.A.,.MI,Italy
SPM.MI,Saipem S.p.A.,.MI,Italy
LDO.MI,Leonardo S.p.A.,.MI,Italy
MB.MI,Mediobanca S.p.A.,.MI,Italy
BAMI.MI,Banco BPM S.p.A.,.MI,Italy
CPR.MI, Campari S.p.A.,.MI,Italy
AZM.MI,Azimut Holding S.p.A.,.MI,Italy
NEXI.MI,Nexi S.p.A.,.MI,Italy
IP.MI,Interpump Group S.p.A.,.MI,Italy
TOD.MI,Tod's S.p.A.,.MI,Italy
UNI.MI,Unipol Gruppo S.p.A.,.MI,Italy
SAP.DE,SAP SE,.DE,Germany
SIE.DE,Siemens AG,.DE,Germany
ALV.DE,Allianz SE,.DE,Germany
AIR.DE,Airbus SE,.DE,Germany
DBK.DE,Deutsche Bank AG,.DE,Germany
DPW.DE,Deutsche Post AG,.DE,Germany
DTE.DE,Deutsche Telekom AG,.DE,Germany
MBG.DE,Mercedes-Benz Group AG,.DE,Germany
BMW.DE,Bayerische Motoren Werke AG,.DE,Germany
VOW3.DE,Volkswagen AG,.DE,Germany
BAS.DE,BASF SE,.DE,Germany
BAYN.DE,Bayer AG,.DE,Germany
BEI.DE,Beiersdorf AG,.DE,Germany
ADS.DE,Adidas AG,.DE,Germany
MUV2.DE,Munchener Ruckversicherung,.DE,Germany
FME.DE,Fresenius Medical Care AG,.DE,Germany
HEI.DE,HeidelbergCement AG,.DE,Germany
HEN3.DE,Henkel AG & Co. KGaA,.DE,Germany
IFX.DE,Infineon Technologies AG,.DE,Germany
LIN.DE,Linde plc,.DE,Germany
MRK.DE,Merck KGaA,.DE,Germany
MTX.DE,MTU Aero Engines AG,.DE,Germany
PAH3.DE,Porsche Automobil Holding,.DE,Germany
RWE.DE,RWE AG,.DE,Germany
SRT3.DE,Sartorius AG,.DE,Germany
SY1.DE,Symrise AG,.DE,Germany
UTDI.DE,United Internet AG,.DE,Germany
VNA.DE,Vonovia SE,.DE,Germany
ZAL.DE,Zalando SE,.DE,Germany
CBK.DE,Commerzbank AG,.DE,Germany
DHL.DE,Deutsche Post AG,.DE,Germany
EOAN.DE,E.ON SE,.DE,Germany
FRE.DE,Fresenius SE & Co. KGaA,.DE,Germany
HNR1.DE,Hannover Ruck SE,.DE,Germany
LEG.DE,LEG Immobilien SE,.DE,Germany
PUM.DE,Puma SE,.DE,Germany
RHM.DE,Rheinmetall AG,.DE,Germany
SCM.DE,Siemens Healthineers AG,.DE,Germany
CON.DE,Continental AG,.DE,Germany
SZG.DE,Salzgitter AG,.DE,Germany
TKA.DE,Thyssenkrupp AG,.DE,Germany
