symbol,name,suffix,market,sector
BTC-USD,Bitcoin,,CRYPTO,
ETH-USD,Ethereum,,CRYPTO,
USDT-USD,Tether,,CRYPTO,
BNB-USD,BNB,,CRYPTO,
USDC-USD,USDC,,CRYPTO,
XRP-USD,XRP,,CRYPTO,
SOL-USD,Solana,,CRYPTO,
TRX-USD,TRON,,CRYPTO,
FIGR_HELOC-USD,Figure Heloc,,CRYPTO,
HYPE-USD,Hyperliquid,,CRYPTO,
DOGE-USD,Dogecoin,,CRYPTO,
USDS-USD,USDS,,CRYPTO,
RAIN-USD,Rain,,CRYPTO,
LEO-USD,LEO Token,,CRYPTO,
ZEC-USD,Zcash,,CRYPTO,
CC-USD,Canton,,CRYPTO,
XMR-USD,Monero,,CRYPTO,
XLM-USD,Stellar,,CRYPTO,
WBT-USD,WhiteBIT Coin,,CRYPTO,
LINK-USD,Chainlink,,CRYPTO,
ADA-USD,Cardano,,CRYPTO,
LAB-USD,LAB,,CRYPTO,
USD1-USD,USD1,,CRYPTO,
DAI-USD,Dai,,CRYPTO,
USDE-USD,Ethena USDe,,CRYPTO,
GRAM-USD,Gram (prev. Toncoin),,CRYPTO,
BCH-USD,Bitcoin Cash,,CRYPTO,
LTC-USD,Litecoin,,CRYPTO,
USYC-USD,Circle USYC,,CRYPTO,
HBAR-USD,Hedera,,CRYPTO,
USDG-USD,Global Dollar,,CRYPTO,
SUI-USD,Sui,,CRYPTO,
PYUSD-USD,PayPal USD,,CRYPTO,
AVAX-USD,Avalanche,,CRYPTO,
CRO-USD,Cronos,,CRYPTO,
XAUT-USD,Tether Gold,,CRYPTO,
SHIB-USD,Shiba Inu,,CRYPTO,
NEAR-USD,NEAR Protocol,,CRYPTO,
BUIDL-USD,BlackRock USD Institutional Digital Liquidity Fund,,CRYPTO,
USDY-USD,Ondo US Dollar Yield,,CRYPTO,
TAO-USD,Bittensor,,CRYPTO,
PAXG-USD,PAX Gold,,CRYPTO,
WLFI-USD,World Liberty Financial,,CRYPTO,
UNI-USD,Uniswap,,CRYPTO,
ASTER-USD,Aster,,CRYPTO,
OKB-USD,OKB,,CRYPTO,
RLUSD-USD,Ripple USD,,CRYPTO,
WLD-USD,Worldcoin,,CRYPTO,
HTX-USD,HTX DAO,,CRYPTO,
ONDO-USD,Ondo,,CRYPTO,
