symbol,name,suffix,market,sector
A2A.MI,A2A,.MI,Italy,
AMP.MI,Amplifon,.MI,Italy,
AVIO.MI,Avio,.MI,Italy,
AZM.MI,Azimut,.MI,Italy,
BMED.MI,Banca Mediolanum,.MI,Italy,
BMPS.MI,Banca Monte dei Paschi di Siena,.MI,Italy,
BAMI.MI,Banco BPM,.MI,Italy,
BPE.MI,BPER Banca,.MI,Italy,
BC.MI,Brunello Cucinelli,.MI,Italy,
BZU.MI,Buzzi,.MI,Italy,
CPR.MI,Campari,.MI,Italy,
DIA.MI,Diasorin,.MI,Italy,
ENEL.MI,Enel,.MI,Italy,
ENI.MI,Eni,.MI,Italy,
RACE.MI,Ferrari,.MI,Italy,
FCT.MI,Fincantieri,.MI,Italy,
FBK.MI,FinecoBank,.MI,Italy,
G.MI,Generali,.MI,Italy,
HER.MI,Hera,.MI,Italy,
ISP.MI,Intesa Sanpaolo,.MI,Italy,
INW.MI,INWIT,.MI,Italy,
IG.MI,Italgas,.MI,Italy,
IVG.MI,Iveco,.MI,Italy,
LDO.MI,Leonardo,.MI,Italy,
LTMC.MI,Lottomatica Group,.MI,Italy,
MB.MI,Mediobanca,.MI,Italy,
MONC.MI,Moncler,.MI,Italy,
NEXI.MI,Nexi,.MI,Italy,
PST.MI,Poste italiane,.MI,Italy,
PRY.MI,Prysmian,.MI,Italy,
REC.MI,Recordati,.MI,Italy,
SPM.MI,Saipem,.MI,Italy,
SRG.MI,Snam,.MI,Italy,
STLAM.MI,Stellantis,.MI,Italy,
STMMI.MI,STMicroelectronics,.MI,Italy,
TIT.MI,Telecom Italia,.MI,Italy,
TEN.MI,Tenaris,.MI,Italy,
TRN.MI,Terna,.MI,Italy,
UCG.MI,UniCredit,.MI,Italy,
UNI.MI,Unipol,.MI,Italy,
ADS.DE,Adidas,.DE,Germany,
AIR.PA,Airbus,.DE,Germany,
ALV.DE,Allianz,.DE,Germany,
BAS.DE,BASF,.DE,Germany,
BAYN.DE,Bayer,.DE,Germany,
BEI.DE,Beiersdorf,.DE,Germany,
BMW.DE,BMW,.DE,Germany,
BNR.DE,Brenntag,.DE,Germany,
CBK.DE,Commerzbank,.DE,Germany,
CON.DE,Continental,.DE,Germany,
DTG.DE,Daimler Truck,.DE,Germany,
DBK.DE,Deutsche Bank,.DE,Germany,
DB1.DE,Deutsche Börse,.DE,Germany,
DHL.DE,Deutsche Post,.DE,Germany,
DTE.DE,Deutsche Telekom,.DE,Germany,
EOAN.DE,E.ON,.DE,Germany,
FRE.DE,Fresenius,.DE,Germany,
FME.DE,Fresenius Medical Care,.DE,Germany,
G1A.DE,GEA Group,.DE,Germany,
HNR1.DE,Hannover Re,.DE,Germany,
HEI.DE,Heidelberg Materials,.DE,Germany,
HEN3.DE,Henkel,.DE,Germany,
IFX.DE,Infineon Technologies,.DE,Germany,
MBG.DE,Mercedes-Benz Group,.DE,Germany,
MRK.DE,Merck,.DE,Germany,
MTX.DE,MTU Aero Engines,.DE,Germany,
MUV2.DE,Munich Re,.DE,Germany,
PAH3.DE,Porsche SE,.DE,Germany,
QIA.DE,Qiagen,.DE,Germany,
RHM.DE,Rheinmetall,.DE,Germany,
RWE.DE,RWE,.DE,Germany,
SAP.DE,SAP,.DE,Germany,
G24.DE,Scout24,.DE,Germany,
SIE.DE,Siemens,.DE,Germany,
ENR.DE,Siemens Energy,.DE,Germany,
SHL.DE,Siemens Healthineers,.DE,Germany,
SY1.DE,Symrise,.DE,Germany,
VOW3.DE,Volkswagen Group,.DE,Germany,
VNA.DE,Vonovia,.DE,Germany,
ZAL.DE,Zalando,.DE,Germany,
AC.PA,Accor,.PA,France,
AI.PA,Air Liquide,.PA,France,
AIR.PA,Airbus,.PA,France,
MT.AS,ArcelorMittal,.PA,France,
CS.PA,Axa,.PA,France,
BNP.PA,BNP Paribas,.PA,France,
EN.PA,Bouygues,.PA,France,
BVI.PA,Bureau Veritas,.PA,France,
CAP.PA,Capgemini,.PA,France,
CA.PA,Carrefour,.PA,France,
ACA.PA,Crédit Agricole,.PA,France,
BN.PA,Danone,.PA,France,
DSY.PA,Dassault Systèmes,.PA,France,
EDEN.PA,Edenred,.PA,France,
ENGI.PA,Engie,.PA,France,
EL.PA,EssilorLuxottica,.PA,France,
ERF.PA,Eurofins Scientific,.PA,France,
RMS.PA,Hermès,.PA,France,
KER.PA,Kering,.PA,France,
OR.PA,L'Oréal,.PA,France,
LR.PA,Legrand,.PA,France,
MC.PA,LVMH,.PA,France,
ML.PA,Michelin,.PA,France,
ORA.PA,Orange,.PA,France,
RI.PA,Pernod Ricard,.PA,France,
PUB.PA,Publicis,.PA,France,
RNO.PA,Renault,.PA,France,
SAF.PA,Safran,.PA,France,
SGO.PA,Saint-Gobain,.PA,France,
SAN.PA,Sanofi,.PA,France,
SU.PA,Schneider Electric,.PA,France,
GLE.PA,Société Générale,.PA,France,
STLAP.PA,Stellantis,.PA,France,
STMPA.PA,STMicroelectronics,.PA,France,
TEP.PA,Teleperformance,.PA,France,
HO.PA,Thales,.PA,France,
TTE.PA,TotalEnergies,.PA,France,
URW.PA,Unibail-Rodamco-Westfield,.PA,France,
VIE.PA,Veolia,.PA,France,
DG.PA,Vinci,.PA,France,
III.L,3i,.L,UK,
ABDN.L,Aberdeen Group,.L,UK,
ADM.L,Admiral Group,.L,UK,
AAF.L,Airtel Africa,.L,UK,
ALW.L,Alliance Witan,.L,UK,
AAL.L,Anglo American plc,.L,UK,
ANTO.L,Antofagasta plc,.L,UK,
ABF.L,Associated British Foods,.L,UK,
AZN.L,AstraZeneca,.L,UK,
AUTO.L,Autotrader Group,.L,UK,
AV.L,Aviva,.L,UK,
BAB.L,Babcock International,.L,UK,
BA.L,BAE Systems,.L,UK,
BARC.L,Barclays,.L,UK,
BTRW.L,Barratt Redrow,.L,UK,
BEZ.L,Beazley,.L,UK,
BP.L,BP,.L,UK,
BATS.L,British American Tobacco,.L,UK,
BLND.L,British Land,.L,UK,
BT.A.L,BT Group,.L,UK,
BNZL.L,Bunzl,.L,UK,
BRBY.L,Burberry Group,.L,UK,
CNA.L,Centrica,.L,UK,
CCEP.L,Coca-Cola Europacific Partners,.L,UK,
CCH.L,Coca-Cola HBC,.L,UK,
CPG.L,Compass Group,.L,UK,
CCC.L,Computacenter,.L,UK,
CTEC.L,Convatec,.L,UK,
CRDA.L,Croda International,.L,UK,
DCC.L,DCC plc,.L,UK,
DGE.L,Diageo,.L,UK,
DPLM.L,Diploma,.L,UK,
EDV.L,Endeavour Mining,.L,UK,
ENT.L,Entain,.L,UK,
EXPN.L,Experian,.L,UK,
FCIT.L,F & C Investment Trust,.L,UK,
FRES.L,Fresnillo plc,.L,UK,
GAW.L,Games Workshop,.L,UK,
GLEN.L,Glencore,.L,UK,
GSK.L,GSK plc,.L,UK,
HLN.L,Haleon,.L,UK,
HLMA.L,Halma plc,.L,UK,
HSX.L,Hiscox,.L,UK,
HWDN.L,Howdens Joinery,.L,UK,
HSBA.L,HSBC,.L,UK,
ICG.L,ICG,.L,UK,
IGG.L,IG Group,.L,UK,
IHG.L,IHG Hotels & Resorts,.L,UK,
IMI.L,IMI,.L,UK,
IMB.L,Imperial Brands,.L,UK,
INF.L,Informa,.L,UK,
IAG.L,International Airlines Group,.L,UK,
ITRK.L,Intertek,.L,UK,
INVP.L,Investec,.L,UK,
JD.L,JD Sports,.L,UK,
BGEO.L,Lion Finance Group,.L,UK,
KGF.L,Kingfisher plc,.L,UK,
LAND.L,Land Securities,.L,UK,
LGEN.L,Legal & General,.L,UK,
LLOY.L,Lloyds Banking Group,.L,UK,
LMP.L,LondonMetric Property,.L,UK,
LSEG.L,London Stock Exchange Group,.L,UK,
MNG.L,M&G,.L,UK,
MKS.L,Marks & Spencer,.L,UK,
MRO.L,Melrose Industries,.L,UK,
MTLN.L,Metlen Energy & Metals,.L,UK,
NG.L,National Grid plc,.L,UK,
NWG.L,NatWest Group,.L,UK,
NXT.L,Next plc,.L,UK,
PSON.L,Pearson plc,.L,UK,
PSH.L,Pershing Square Holdings,.L,UK,
PSN.L,Persimmon,.L,UK,
