symbol,name,suffix,market,sector
AC.PA,Accor,.PA,France,
AI.PA,Air Liquide,.PA,France,
AIR.PA,Airbus,.PA,France,
MT.AS,ArcelorMittal,.PA,France,
CS.PA,Axa,.PA,France,
BNP.PA,BNP Paribas,.PA,France,
EN.PA,Bouygues,.PA,France,
BVI.PA,Bureau Veritas,.PA,France,
CAP.PA,Capgemini,.PA,France,
CA.PA,Carrefour,.PA,France,
ACA.PA,Crédit Agricole,.PA,France,
BN.PA,Danone,.PA,France,
DSY.PA,Dassault Systèmes,.PA,France,
EDEN.PA,Edenred,.PA,France,
ENGI.PA,Engie,.PA,France,
EL.PA,EssilorLuxottica,.PA,France,
ERF.PA,Eurofins Scientific,.PA,France,
RMS.PA,Hermès,.PA,France,
KER.PA,Kering,.PA,France,
OR.PA,L'Oréal,.PA,France,
LR.PA,Legrand,.PA,France,
MC.PA,LVMH,.PA,France,
ML.PA,Michelin,.PA,France,
ORA.PA,Orange,.PA,France,
RI.PA,Pernod Ricard,.PA,France,
PUB.PA,Publicis,.PA,France,
RNO.PA,Renault,.PA,France,
SAF.PA,Safran,.PA,France,
SGO.PA,Saint-Gobain,.PA,France,
SAN.PA,Sanofi,.PA,France,
SU.PA,Schneider Electric,.PA,France,
GLE.PA,Société Générale,.PA,France,
STLAP.PA,Stellantis,.PA,France,
STMPA.PA,STMicroelectronics,.PA,France,
TEP.PA,Teleperformance,.PA,France,
HO.PA,Thales,.PA,France,
TTE.PA,TotalEnergies,.PA,France,
URW.PA,Unibail-Rodamco-Westfield,.PA,France,
VIE.PA,Veolia,.PA,France,
DG.PA,Vinci,.PA,France,
