symbol,name,suffix,market,sector
ADS.DE,Adidas,.DE,Germany,
AIR.PA,Airbus,.DE,Germany,
ALV.DE,Allianz,.DE,Germany,
BAS.DE,BASF,.DE,Germany,
BAYN.DE,Bayer,.DE,Germany,
BEI.DE,Beiersdorf,.DE,Germany,
BMW.DE,BMW,.DE,Germany,
BNR.DE,Brenntag,.DE,Germany,
CBK.DE,Commerzbank,.DE,Germany,
CON.DE,Continental,.DE,Germany,
DTG.DE,Daimler Truck,.DE,Germany,
DBK.DE,Deutsche Bank,.DE,Germany,
DB1.DE,Deutsche Börse,.DE,Germany,
DHL.DE,Deutsche Post,.DE,Germany,
DTE.DE,Deutsche Telekom,.DE,Germany,
EOAN.DE,E.ON,.DE,Germany,
FRE.DE,Fresenius,.DE,Germany,
FME.DE,Fresenius Medical Care,.DE,Germany,
G1A.DE,GEA Group,.DE,Germany,
HNR1.DE,Hannover Re,.DE,Germany,
HEI.DE,Heidelberg Materials,.DE,Germany,
HEN3.DE,Henkel,.DE,Germany,
IFX.DE,Infineon Technologies,.DE,Germany,
MBG.DE,Mercedes-Benz Group,.DE,Germany,
MRK.DE,Merck,.DE,Germany,
MTX.DE,MTU Aero Engines,.DE,Germany,
MUV2.DE,Munich Re,.DE,Germany,
PAH3.DE,Porsche SE,.DE,Germany,
QIA.DE,Qiagen,.DE,Germany,
RHM.DE,Rheinmetall,.DE,Germany,
RWE.DE,RWE,.DE,Germany,
SAP.DE,SAP,.DE,Germany,
G24.DE,Scout24,.DE,Germany,
SIE.DE,Siemens,.DE,Germany,
ENR.DE,Siemens Energy,.DE,Germany,
SHL.DE,Siemens Healthineers,.DE,Germany,
SY1.DE,Symrise,.DE,Germany,
VOW3.DE,Volkswagen Group,.DE,Germany,
VNA.DE,Vonovia,.DE,Germany,
ZAL.DE,Zalando,.DE,Germany,
