symbol,name,suffix,market,sector
A2A.MI,A2A,.MI,Italy,
AMP.MI,Amplifon,.MI,Italy,
AVIO.MI,Avio,.MI,Italy,
AZM.MI,Azimut,.MI,Italy,
BMED.MI,Banca Mediolanum,.MI,Italy,
BMPS.MI,Banca Monte dei Paschi di Siena,.MI,Italy,
BAMI.MI,Banco BPM,.MI,Italy,
BPE.MI,BPER Banca,.MI,Italy,
BC.MI,Brunello Cucinelli,.MI,Italy,
BZU.MI,Buzzi,.MI,Italy,
CPR.MI,Campari,.MI,Italy,
DIA.MI,Diasorin,.MI,Italy,
ENEL.MI,Enel,.MI,Italy,
ENI.MI,Eni,.MI,Italy,
RACE.MI,Ferrari,.MI,Italy,
FCT.MI,Fincantieri,.MI,Italy,
FBK.MI,FinecoBank,.MI,Italy,
G.MI,Generali,.MI,Italy,
HER.MI,Hera,.MI,Italy,
ISP.MI,Intesa Sanpaolo,.MI,Italy,
INW.MI,INWIT,.MI,Italy,
IG.MI,Italgas,.MI,Italy,
IVG.MI,Iveco,.MI,Italy,
LDO.MI,Leonardo,.MI,Italy,
LTMC.MI,Lottomatica Group,.MI,Italy,
MB.MI,Mediobanca,.MI,Italy,
MONC.MI,Moncler,.MI,Italy,
NEXI.MI,Nexi,.MI,Italy,
PST.MI,Poste italiane,.MI,Italy,
PRY.MI,Prysmian,.MI,Italy,
REC.MI,Recordati,.MI,Italy,
SPM.MI,Saipem,.MI,Italy,
SRG.MI,Snam,.MI,Italy,
STLAM.MI,Stellantis,.MI,Italy,
STMMI.MI,STMicroelectronics,.MI,Italy,
TIT.MI,Telecom Italia,.MI,Italy,
TEN.MI,Tenaris,.MI,Italy,
TRN.MI,Terna,.MI,Italy,
UCG.MI,UniCredit,.MI,Italy,
UNI.MI,Unipol,.MI,Italy,
