symbol,name,suffix,market,sector
ACS.MC,ACS,.MC,Spain,
ACX.MC,Acerinox,.MC,Spain,
AMS.MC,Amadeus IT Group,.MC,Spain,
ANA.MC,Acciona,.MC,Spain,
ANE.MC,Acciona Energía,.MC,Spain,
BBVA.MC,BBVA,.MC,Spain,
BKT.MC,Bankinter,.MC,Spain,
CABK.MC,CaixaBank,.MC,Spain,
CLNX.MC,Cellnex Telecom,.MC,Spain,
COL.MC,Inmobiliaria Colonial,.MC,Spain,
AENA.MC,AENA,.MC,Spain,
ELE.MC,Endesa,.MC,Spain,
ENG.MC,Enagás,.MC,Spain,
FDR.MC,Fluidra,.MC,Spain,
FER.MC,Ferrovial,.MC,Spain,
GRF.MC,Grifols,.MC,Spain,
IAG.MC,International Airlines Group,.MC,Spain,
IBE.MC,Iberdrola,.MC,Spain,
IDR.MC,Indra,.MC,Spain,
ITX.MC,Inditex,.MC,Spain,
LOG.MC,Logista,.MC,Spain,
MAP.MC,Mapfre,.MC,Spain,
MRL.MC,Merlin Properties,.MC,Spain,
MTS.MC,ArcelorMittal,.MC,Spain,
NTGY.MC,Naturgy,.MC,Spain,
PUIG.MC,Puig,.MC,Spain,
RED.MC,Redeia Corporación,.MC,Spain,
REP.MC,Repsol,.MC,Spain,
ROVI.MC,Laboratorios Rovi [es],.MC,Spain,
SAB.MC,Banco Sabadell,.MC,Spain,
SAN.MC,Santander,.MC,Spain,
SCYR.MC,Sacyr,.MC,Spain,
SLR.MC,Solaria,.MC,Spain,
TEF.MC,Telefónica,.MC,Spain,
UNI.MC,Unicaja,.MC,Spain,
