symbol,name,suffix,market,sector
MMM,3M,,US,Industrials
AOS,A. O. Smith,,US,Industrials
ABT,Abbott Laboratories,,US,Health Care
ABBV,AbbVie,,US,Health Care
ACN,Accenture,,US,Information Technology
ADBE,Adobe Inc.,,US,Information Technology
AMD,Advanced Micro Devices,,US,Information Technology
AES,AES Corporation,,US,Utilities
AFL,Aflac,,US,Financials
A,Agilent Technologies,,US,Health Care
APD,Air Products,,US,Materials
ABNB,Airbnb,,US,Consumer Discretionary
AKAM,Akamai Technologies,,US,Information Technology
ALB,Albemarle Corporation,,US,Materials
ARE,Alexandria Real Estate Equities,,US,Real Estate
ALGN,Align Technology,,US,Health Care
ALLE,Allegion,,US,Industrials
LNT,Alliant Energy,,US,Utilities
ALL,Allstate,,US,Financials
GOOGL,Alphabet Inc. (Class A),,US,Communication Services
GOOG,Alphabet Inc. (Class C),,US,Communication Services
MO,Altria,,US,Consumer Staples
AMZN,Amazon,,US,Consumer Discretionary
AMCR,Amcor,,US,Materials
AEE,Ameren,,US,Utilities
AEP,American Electric Power,,US,Utilities
AXP,American Express,,US,Financials
AIG,American International Group,,US,Financials
AMT,American Tower,,US,Real Estate
AWK,American Water Works,,US,Utilities
AMP,Ameriprise Financial,,US,Financials
AME,Ametek,,US,Industrials
AMGN,Amgen,,US,Health Care
APH,Amphenol,,US,Information Technology
ADI,Analog Devices,,US,Information Technology
AON,Aon plc,,US,Financials
APA,APA Corporation,,US,Energy
APO,Apollo Global Management,,US,Financials
AAPL,Apple Inc.,,US,Information Technology
AMAT,Applied Materials,,US,Information Technology
APP,AppLovin,,US,Information Technology
APTV,Aptiv,,US,Consumer Discretionary
ACGL,Arch Capital Group,,US,Financials
ADM,Archer Daniels Midland,,US,Consumer Staples
ARES,Ares Management,,US,Financials
ANET,Arista Networks,,US,Information Technology
AJG,Arthur J. Gallagher & Co.,,US,Financials
AIZ,Assurant,,US,Financials
T,AT&T,,US,Communication Services
ATO,Atmos Energy,,US,Utilities
ADSK,Autodesk,,US,Information Technology
ADP,Automatic Data Processing,,US,Industrials
AZO,AutoZone,,US,Consumer Discretionary
AVB,AvalonBay Communities,,US,Real Estate
AVY,Avery Dennison,,US,Materials
AXON,Axon Enterprise,,US,Industrials
BKR,Baker Hughes,,US,Energy
BALL,Ball Corporation,,US,Materials
BAC,Bank of America,,US,Financials
BAX,Baxter International,,US,Health Care
BDX,Becton Dickinson,,US,Health Care
BRK.B,Berkshire Hathaway,,US,Financials
BBY,Best Buy,,US,Consumer Discretionary
TECH,Bio-Techne,,US,Health Care
BIIB,Biogen,,US,Health Care
BLK,BlackRock,,US,Financials
BX,Blackstone Inc.,,US,Financials
XYZ,"Block, Inc.",,US,Financials
BNY,BNY Mellon,,US,Financials
BA,Boeing,,US,Industrials
